year,category,situation,black,asian,nativeAmerican,multipleRaces,nhpi,white,hispanic,nonHispanic
2017,all,shel,0.744604045,0.547781065,0.519409383,0.614827249,0.526099707,0.591959506,0.628040764,0.658189873
2017,all,unshel,0.255395955,0.452218935,0.480590617,0.385172751,0.473900293,0.408040494,0.371959236,0.341810127
2017,indiv,shel,0.593320191,0.414790333,0.390676029,0.442398344,0.36253848,0.499416103,0.411625989,0.54904654
2017,indiv,unshel,0.406679809,0.585209667,0.609323971,0.557601656,0.63746152,0.500583897,0.588374011,0.45095346
2017,inFam,shel,0.961053837,0.883272538,0.866094987,0.914839798,0.686657369,0.852989401,0.925444352,0.901847979
2017,inFam,unshel,0.038946163,0.116727462,0.133905013,0.085160202,0.313342631,0.147010599,0.074555648,0.098152021
2016,all,shel,0.783647881,0.620381938,0.517433843,0.637874763,0.51511335,0.616882481,0.718398338,0.668246899
2016,all,unshel,0.216352119,0.379618062,0.482566157,0.362125237,0.48488665,0.383117519,0.281601662,0.331753101
2016,indiv,shel,0.660711431,0.487867178,0.396301668,0.388462268,0.367889046,0.523198904,0.503089275,0.568599837
2016,indiv,unshel,0.339288569,0.512132822,0.603698332,0.611537732,0.632110954,0.476801096,0.496910725,0.431400163
2016,inFam,shel,0.954383472,0.927725118,0.83583512,0.923381627,0.654910714,0.851341552,0.932874751,0.887464632
2016,inFam,unshel,0.045616528,0.072274882,0.16416488,0.076618373,0.345089286,0.148658448,0.067125249,0.112535368
2015,all,shel,0.78858632,0.608165953,0.557082452,0.58278768,0.57063555,0.640389266,0.691368773,0.693621445
2015,all,unshel,0.21141368,0.391834047,0.442917548,0.41721232,0.42936445,0.359610734,0.308631227,0.306378555
2015,indiv,shel,0.662537776,0.474445741,0.43467164,0.390447909,0.43041172,0.546584819,0.476084011,0.592914738
2015,indiv,unshel,0.337462224,0.525554259,0.56532836,0.609552091,0.56958828,0.453415181,0.523915989,0.407085262
2015,inFam,shel,0.948300213,0.928451649,0.809052334,0.886802785,0.684675431,0.86222113,0.928822299,0.890990979
2015,inFam,unshel,0.051699787,0.071548351,0.190947666,0.113197215,0.315324569,0.13777887,0.071177701,0.109009021